State,# Killed,# Injured
Alabama,98,368
Alaska,6,18
Arizona,65,133
Arkansas,41,212
California,394,1350
Colorado,72,197
Connecticut,14,120
Delaware,13,64
District of Columbia,30,268
Florida,285,962
Georgia,149,530
Idaho,5,6
Illinois,257,1594
Indiana,82,288
Iowa,13,79
Kansas,31,84
Kentucky,38,173
Louisiana,136,723
Maine,12,2
Maryland,96,412
Massachusetts,18,130
Michigan,111,405
Minnesota,32,185
Mississippi,95,257
Missouri,128,440
Montana,13,6
Nebraska,9,50
Nevada,86,559
New Hampshire,0,4
New Jersey,63,366
New Mexico,39,61
New York,100,719
North Carolina,118,375
Ohio,146,598
Oklahoma,20,81
Oregon,24,88
Pennsylvania,136,673
Rhode Island,0,22
South Carolina,109,387
South Dakota,14,6
Tennessee,92,469
Texas,419,1018
Utah,13,17
Vermont,4,0
Virginia,82,320
Washington,58,113
West Virginia,13,12
Wisconsin,52,170
Wyoming,2,2
